Title,Part,Persons,Primary person,Wikidata ID,Primary person role,Edition,Language/s,Publication statement,Extent,Type of content,Series,Note,ISBN,Subject,Location,Shelf mark,Subject heading,Further documents,Collective title,Manufacture statement,Abstract,Corporate body,Record place and date,Form of work,Notes,Title of work,Wrong ISBN,Link to digital copy,Bibliogr. context,Further information,Copyright date,Further title,Parallel title proper
"Rūznāmah-ʼi safar-i Kuhgīlūyah va Bakhtiyārī, 1331-1335 H.Q / Mīrzā Abū Ṭālib Mūsavī Qashqāyī ; bih kūshish-i Bābak Zīlābʹpūr ‏روزنامۀ سفر کهگيلويه و بختيارى، ١٣٣١-١٣٣٥ ه.ق /‏ / ‏ميرزا ابو طالب موسوى قشقايى ؛ به کوشش بابک زيلاب‌پور",,"Mūsavī Qashqāyī, Mīrzā Abū Ṭālib, -1933? [VerfasserIn] ; ‏موسوى قشقايى, ميرزا ابو طالب [GeistigeR SchöpferIn] Zīlābʹpūr, Bābak, 1981 or 1982- [HerausgeberIn] ; ‏زيلاب‌پور, بابک [SonstigeR]","Mūsavī Qashqāyī, Mīrzā Abū Ṭālib",,VerfasserIn,Chāp-i avval - ‏چاپ اول,Persian,"Tihrān : Intishārāt-i Shīrāzah-i Kitāb-i Mā ; ‏تهران :‏ : ‏انتشارات شيرازه کتاب ما،‏, 1400 [2021]","216 pages : illustrations, facsimiles, genealogical tables ; 22 cm",,Majmūʻah-ʼi tārīkh-i muʻāṣir-i Īrān ; 89 ‏مجموعۀ تاريخ معاصر ايران ؛‏ ; ‏89,Includes bibliographical references and indexes In Persian,978-622-7489-73-6,,ALS1,= 2024 A 3745,"*Mūsavī Qashqāyī, Mīrzā Abū Ṭālib -- -1933? -- Travel -- Iran -- Kuhgīlūyah va Būyir Aḥmadī -- DLC ; Bakhtiari (Iranian people) -- History -- DLC ; Kuhgīlūyah va Būyir Aḥmadī (Iran) -- Description and travel -- DLC ; Iran -- History -- Qajar dynasty, 1794-1925 -- Sources -- DLC",Library of Congress Classification: DS324.K85,,,"Kuhgīlūyah va Būyir Aḥmadī (Iran) -- Description and travel. ; Mūsavī Qashqāyī, Mīrzā Abū Ṭālib, -1933? ; Bakhtiari (Iranian people) -- History",,,,,,,,,,,,
Bahǧat-afzā / Muḥammad Mahdī Čarpādiqanī$htashīh wa tahqīq Umīd Surūrī Golpaigānī بهجت‌افزا / محمدمهدی چرپادقانی$hتصحیح و تدقیق دکتر امید سروری گلپایگانی,,"Čarpādiqanī, Muḥammad Mahdī [VerfasserIn] ; چرپادقانی, محم مهدی [VerfasserIn] Surūrī, Umīd *1980-* [ZusammenstellendeR] ; سروری, امید *1980-* [ZusammenstellendeR]","Čarpādiqanī, Muḥammad Mahdī",,VerfasserIn,C̆āp-i 1 - چاپ 1,Persian,"Tihrān : Intišārāt-i Duktur Maḥmūd Afšār ; Intišārāt-i Suḫan ; تهران : انتشارات دکتر محمود افشار ; انتشارات سخن, 1400 h.š. [2021]",260 Seiten,Quelle,"Maǧmūʿa-i intišārāt-i adabī wa tārīḫī-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī. - Tihrān : Bunyād-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī, 1973- ; ZDB-ID: 2282916-7 ; 299 Maǧmūʿa-i intišārāt-i adabī wa tārīḫī-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī / Dr. Mahmud Afshar Foundation. - Tihrān : Bunyād-i Mauqūfāt-i Duktur Maḥmūd-i Afšār, 1390 h.š. [2011/2012] - ; ZDB-ID: 2772433-5 ; 107","Novel Ersch.-Jahr 1400 h.š. = 2021 In arabischer Schrift, persisch",978-622-7706-22-2,"18.69 Iranische Sprachen und Literaturen 17.84 Sonstige literarische Gattungen | KJQ 664 Volkstümliche Prosa [auch Fabel, Märchen] {Persisch}",ALS1,KJQ 664 CMM:z = 2024 A 5005,,,,,,,,,,,,,,,,,
Mūnis-nāma / Abū-Bakr Ibn-Ḫusrau al-Ustād ; taṣḥīḥ wa taḥqīq duktur Nasrīn ʿAskarī مونس نامه / ابوبکر بن خسرو الاستاد ; تصحیح و تحقیق دکتر نسرین عسکری,,"Abū-Bakr Ibn-Ḫusrau al-Ustād *ca. 12. Jh.* [VerfasserIn] ; ابوبکر بن خسرو الاستاد *ca. 12. Jh.* [VerfasserIn] Askari, Nasrin *1969-* [HerausgeberIn] ; عسکری, نسرین *1969-* [HerausgeberIn]",Abū-Bakr Ibn-Ḫusrau al-Ustād,,VerfasserIn,Čāp-i 1 - چاپ 1,Persian,"Tihrān : Intišārāt-i Duktur Maḥmūd Afšār Yazdī bā hamkārī-i Intišārāt-i Suḫan ; تهران : انتشارات دکتر محمود افشار یزدی با همکاری انتشارات سخن, 1400 h.š. [2021]",690 Seiten,Quelle,"Maǧmūʿa-i intišārāt-i adabī wa tārīḫī-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī. - Tihrān : Bunyād-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī, 1973- ; ZDB-ID: 2282916-7 ; 293 Maǧmūʿa-i intišārāt-i adabī wa tārīḫī-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī / Dr. Mahmud Afshar Foundation. - Tihrān : Bunyād-i Mauqūfāt-i Duktur Maḥmūd-i Afšār, 1390 h.š. [2011/2012] - ; ZDB-ID: 2772433-5 ; 104","Literaturverzeichnis Seite [684]-690 In arabischer Schrift, persisch",978-622-7706-16-1 622-7706-16-7,"18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 646 Fürstenspiegel, Erziehung {Persisch} KJQ 553 Didaktische Literatur {Neupersisch}",FMAG | ALS1,2024 A 4962 | KJQ 646 ABUs:z = 2024 A 3747,*Persisch / Sinnspruch / Fabel / Sprichwort,,,,,,,,,,,,,,,,
Rubāʿīāt Ḫayām : wa Ḫayāmānah hāī pārsī / Sīyid ʿAlī Mīrāfḍalī رباعیات خیام : و خیامانه های پارسی / سّید علی میرافضلی,,"Mīr Afḍalī, ʿAlī *1968-* [VerfasserIn] ; میر افضلى, علی *1968-* [VerfasserIn]","Mīr Afḍalī, ʿAlī",,VerfasserIn,čāp 3 - چاپ سوم,Persian,"Tihrān : Intišārāt Suḫan ; تهران : انتشارات سخن, 1401 [2022]",542 Seiten ; 22 cm,,,Includes bibliographical references and index Abweichende Umschrift: Rubāʻīyāt-i Khayyām va Khayyāmānahʹhā-yi Pārsī In Persian,978-622-260-030-3,,ALS1,= 2024 A 3683,,,,,Omar Khayyam. Rubāʻīyāt. ; Persian poetry -- 747-1500. ; Persian poetry -- 747-1500 -- History and criticism,,,,,,,,,,,,
Ǧangnāma-i Rustam wa Zanūn / ba kūšiš-i Duktur Āraš Akbarī Mafāḫir جنگنامۀ رستم و زنون / به کوشش دکتر آرش اکبری مفاخر ǰaŋnâme-ye R̊ustam u Zanün / Arash Akbari Mafakher 2021,,"Firdausī *940-1020* [VerfasserIn] ; فردوسى *940-1020* [VerfasserIn] Akbarī Mafāḫir, Āraš *1975-* [HerausgeberIn] [KommentarverfasserIn] ; اکبرى مفاخر, آرش *1975-* [HerausgeberIn] [KommentarverfasserIn]",Ferdowsi,Q43459,VerfasserIn,Čāp-i 1 - چاپ 1,"Persian, Guarani","Tihrān : Intišārāt-i Duktur Maḥmūd Afšār ; Intišārāt-i Suḫan ; تهران : انتشارات دکتر محمود افشار ; انتشارات سخن, 1400 h.š. [2021]","703 Seiten : Illustrationen, Faksimiles ; 29 cm",Quelle,"Maǧmūʿa-i intišārāt-i adabī wa tārīḫī, mauqūfāt-i Duktur Maḥmūd Afshār ; 273 مجموعۀ انتشارات ادبى و تاريخى، موقوفات دکتر محمود افشار ؛ ; 273 Ganǧīna-i kullīyāt wa maqālāt ; 78 گنجینۀ کلیات و مقالات ؛ ; 78",Includes bibliographical references (pages 639-659) and indexes In arabischer Schrift,978-622-6441-85-8 622-6441-85-2,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors 17.81 Epik Prosa | KJS 633 Epos. Heldenlied. Verserzählung. {Kurdisch} KJQ 515 Literarische Übersetzungen {Neupersisch} KJQ 525 Rezeption {Neupersisch},ALS1,KJS 633 Fir:z = 2024 B 604,"*Firdausī *940-1020*. Šāhnāma *Firdawsī -- Shāhnāmah ; Firdawsī -- Shāhnāmah -- Criticism and interpretation *Shāhnāmah (Firdawsī) ; Criticism, interpretation, etc ; Epic poetry ; Epic poetry ; Poésie épique",Library of Congress Classification: PK6456.5,,,"The text of the ""Kurdish Shahnamah"" in Gurani, in Arabic and Latin script, its translation into Persian, and detailed commentary",,,,,Šāhnāma . Selections,,,,,,,
Čāp-i muṣawwar : Pažūhišī dar kitābhā-i čāp-i sangī-i Fārsī / niwīsanda Ūlrīš Mārzūlf ; tarǧuma Muḥammad Ǧawād Aḥmadī-Nīyā چاپ مصور : پژوهشی در کبا‌های چاپ سنگی فارسی / نویسنده اولریش مارزولف ; ترجمه محمد جواد احمدی‌نیا,,"Marzolph, Ulrich *1953-* [VerfasserIn] ; مارزلف, اولریش *1953-* [VerfasserIn] Aḥmadīnīyā, Muḥammad-Ǧawād *1980-* [ÜbersetzerIn] ; احمدى‌نيا, محمدجواد *1980-* [ÜbersetzerIn]",Ulrich Marzolph,Q61885862,VerfasserIn,Čāp-i awwal - چاپ اول,Persian (Language of original: German),"Tihrān : Mān ; تهران : مان, zimistān 1400 h.š [2021/2022]",172 Seiten : Illustrationen,,,"Literaturverzeichnis: Seite 161-166, Indizes Illustrated Printing$dA Research on the Persian lithographed Books$hUlrich Marzolph ; translated by Mohamad Javad Ahmadinia In arabischer Schrift, persisch",978-622-98204-0-7,"06.22 Buchgestaltung | KJQ 230 Arbeitstechnik. Arbeitsmittel {Neupersisch} ARF 400 Buchkunst und Buchillustration regional GEH 730 Lithographie {Bildende Kunst, Graphik} PUH 255 Kultur {Iran 1794-1925}",ALS1,KJQ 230:m = 2022 A 3489,*Iran / Kadscharen<Dynastie : 1794-1925> / Lithografie / Buchkunst,,,,,,,,,,,,,,,,
Bi muwāzāt-i tawaqquf / Raḥmān Karīmī به موازات توقف / رحمان کریمی,,"Karīmī, Raḥmān *1937-2022* [VerfasserIn] ; کریمی, رحمان *1937-2022* [VerfasserIn] Karīmī, Rūzbih [FotografIn] ; کریمی, روزبه [FotografIn] ; Karīmī, Ḫāṭira [VerfasserIn einer Einleitung] ; کریمی, خاطره [VerfasserIn einer Einleitung]",Rahman Karimi,Q116533774,VerfasserIn,Čāp-i duwwum - چاپ دوم,Persian,"Düren : Shaker Media, tīr 1400h.š. [2021]","104 Seiten : Illustration ; 22 cm x 15.5 cm, 162 g",,,,978-3-95631-869-6,KJQ 658 Dichtung der Moderne {Persisch},ALS1,KJQ 658 KarR:z = 2022 A 7036:1,,"Regensburger Verbund-Klassifikation: EV 7699: E Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen / EV Indoiranische Sprachen und  Literaturen (unter Einschluss nichtindogermanischer Sprachen) / EV 500-EV 9999 Iranische Sprachen und Literaturen, Iranistik / EV 3200-EV 9999 Iranische Literatur / EV 4000-EV 8999 Neuiranische Literatur / EV 4300-EV 8999 Neupersische Literatur / EV 6000-EV 8999 Moderne neupersische Literatur (ab Mitte des 19. Jahrhunderts) / EV 6400-EV 7699 Einzelne Autoren und Anonyma (bis Geburtsjahr 1975) / Sonstige Autoren",Maǧmūʿa-i ašʿār / Raḥmān Karīmī ; Ǧild 1 مجموعه اشعار / رحمان کریمی ; جلد ۱,,,Shaker Media GmbH [Verlag],,,,,,,,,,,
"Bāzār va dukān va kārvānsarā dar asnād-i dawrah-ʾi Qājār بازار و دکان و كاروانسرا در  اسناد دورۂ قاجار Bazaars, store, and caravanserais in the documents from Qajar Iran / Hashem Rajabzadeh with the cooperation of Kinji Eura and a preface by Kazuo Morimoto Kājāru chōki iran no ichiba, tenpo, taishōyado kanren bunsho / Hāshemu Rajabuzāde hencho ; Eura Kinji kyōrokyu ; Morimoto Kazuo jobun カージャール朝期イランの市場・店舗・隊商宿関連文書 / ハーシェム・ラジャブザーデ編著 ; 江浦公治協力 ; 森本一夫序文",,"Raǧabzāda, Hāšim *1941-* [VerfasserIn] [HerausgeberIn] ; رجب‌زاده, هاشم *1941-* [VerfasserIn] [HerausgeberIn] Eura, Kinji *1970-* [Sonstige Person, Familie und Körperschaft] ; 1970-* [Sonstige Person, Familie und Körperschaft] ; Morimoto, Kazuo *1970-* [VerfasserIn eines Vorworts] ; 森本, 一夫 *1970-* [VerfasserIn eines Vorworts]",Hashem Rajabzadeh,Q10856741,"VerfasserIn, HerausgeberIn",,"Persian, Japanese","Tūkyū : Markaz-i Pažūhiš wa Iṭilāʿrasānī dar Muṭālaʿāt-i Āsiyāyī, 2021","1, 184 Seiten ; 26 cm",Quelle,"Tōyōgaku Kenkyū Jōhō Sentā sōkan. - Tōkyō : [Verlag nicht ermittelbar], 2002- ; ZDB-ID: 2585740-X ; 32 東洋学研究情報センター叢刊. - 東京 : [Verlag nicht ermittelbar], 2002- ; ZDB-ID: 2585740-X ; 32 Ganǧīna-i asnād-i fārsī. - Tokyo : Research and Information Center for Asian Studies, 1997- ; ZDB-ID: 2565262-X ; 8 گنجینه اسناد فارسی, 1997- ; ZDB-ID: 2565262-X ; 8","背表紙・裏表紙にペルシア語表記あり In arabischer Schrift, persisch, Vorwort auf japanisch",978-4-903235-57-8,,,2023 B 25157,*Iran / Kadscharen<Dynastie : 1794-1925> *イラン / 歴史 / 史料,NDC10: 227.2,,,,Tōyōgaku Kenkyū Jōhō Sentā  <Tokio> [Herausgebendes Organ] Tōyōgaku Kenkyū Jōhō Sentā  <Tokio> [Herausgebendes Organ],,,,,,,,,,,
Rūyā-i Īrānī / Anūšah Munādī The Iranian's dream The Iranian's dream /,,"Munādī, Anūšah [VerfasserIn]","Munādī, Anūšah",,VerfasserIn,Cāp-i 1,Persian,"Landan : Našr-i Mihrī [2021], 1399 h.š. [2020]",196 Seite ; 21 cm,,Našr-i Mihrī Dāstān-i Fārsī ; 54,"A novel Abweichender Titel: Iranian's dream In arabischer Schrift, persisch In Persian",978-1-914165-67-2,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 667 Roman {Persisch},ALS1,= 2022 A 3469,,Library of Congress Classification: PK6562.23.U68,,,,,,,,,,,,,,,
Inǧīl-i laīdīz / Ḫusrau Dawāmī انجیل لیدیز / دوامی، خسرو Angel ladies / Khosrow Davami,,"Davami, Khosrow *1998-* [VerfasserIn] ; دوامی, خسرو *1998-* [VerfasserIn]","Davami, Khosrow",,VerfasserIn,Cāp-i 2 - چاپ دوم,Persian,"Landan : Našr-i Mihrī ; لندن : نشر مهری, 1400 h.š. = 2021",102 Seiten,,"Novel, short stories collection. - London : Mehri Publication, 2021- ; ZDB-ID: 3105259-9 ; 62","Ersch.-Jahr 1400 h.š. = 2021 In arabischer Schrift, persisch",978-1-914165-34-4 1-914165-34-9,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 667 Roman {Persisch},ALS1,KJQ 667 DHs:z = 2022 A 3449,,Dewey Decimal Classification: 891.55;,,,,,,,,,,,,<a href='http://ferdosimedia.com/assets/img/product/ books/60bf5ae2650f8/cover.jpg' target=_blank>http://ferdosimedia.com/assets/img/ product/books/60bf5ae2650f8/cover.jpg</a> [Add. information],,,
"MḤāǧī-zādaan, Mansur wa Albirāit / qiṣi-ī bā muqadama wa muḫira$hFarḫunda Ḥāǧī-zāda",,"Ḥāǧī-zāda, Farḫunda [VerfasserIn]","Ḥāǧī-zāda, Farḫunda",,VerfasserIn,Cāp-i 3 -,Persian,"Tihrān : Našr-i Čašma, 1400 h.š. [2021]",258 Seiten,,,"In arabischer Schrift, persisch",978-1-914165-01-6 978-1-914165-00-9,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 667 Roman {Persisch},ALS1,KJQ 667= 2022 A 3448,,,,,,,,,,,,,,,,,
Sūʾ-i qaṣd bi ḏāt-i humāyūnī / Riḍā Ǧūlāyī,,"Ǧūlāyī, Riḍā *1950-* [VerfasserIn]","Ǧūlāyī, Riḍā",,VerfasserIn,Čāp-i 9,Persian,"Tihrān : Našr-i Čašma, 1400 h.š. [2021]",277 Seiten,Quelle,"Dāstān-i fārsī. - Tihrān : Našr-i Čašma, 1389h.š [2010] ; ZDB-ID: 2653647-X ; 256","Ersch.-Jahr 1400 h.š. = 2021 In arabischer Schrift, persisch",978-600-229-529-3,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors 17.81 Epik Prosa | KJQ 667 Roman {Persisch},ALS1,KJQ 667 GulR:z = 2022 A 3441,,,,,,,,,,,,,,,,,
Rāhnamā-i murdan bā giyāhān-i dārūyī / ʿAṭīa ʿAṭārzāda,,"ʿAṭārzāda, ʿAṭīa *1984-* [VerfasserIn]","ʿAṭārzāda, ʿAṭīa",,VerfasserIn,Cap-i 26,Persian,"Tihrān : Našr-i Čašma, 1363 h.š. [2021]",117 Seiten,Quelle,"Dāstān-i fārsī. - Tihrān : Našr-i Čašma, 1389h.š [2010] ; ZDB-ID: 2653647-X ; 312","Ersch.-Jahr 1363 h.š. = 2021 In arabischer Schrift, persisch",978-600-229-803-4,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors 17.81 Epik Prosa | KJQ 667 Roman {Persisch},ALS1,KJQ 667 Ata:z = 2022 A 3440,,,,,,,,,,,*250-0-11-038801-5,,,,,,
Tarbīyat-kunandi-i sagmāhī / Ahmad Ārām Sag-mahi Trainer / Ahmad Aram,,"Ārām, Aḥmad *1902-1998* [VerfasserIn]",Ahmad Aram,Q5956408,VerfasserIn,Čāp-i 1,Persian,"London : Mehri Publication Ltd [2021] ;  :  , 1400 h.š. = 2021",237 Seiten,Quelle,Mehri Publication Novel ; 67,"Ersch.-Jahr 1400 h.š. = 2021 In arabischer Schrift, persisch",978-1-914165-10-8 pbk. 1-914165-10-1,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors 17.81 Epik Prosa | KJQ 667 Roman {Persisch},ALS1,KJQ 667 AraA:z = 2022 A 3438,,,,,,,,,,,,,,,,,
Sūdābi dar ātaš / Ḫuršīd Rišād Soudabe in fire : Short stories collection / Reshad Khorshid,,"Rišād, Ḫuršīd [VerfasserIn]","Rišād, Ḫuršīd",,VerfasserIn,Čāp-i 1,Persian,"London : Mehri Publication, 1400 h.š. [2021]",122 Seiten,,"Novel, short stories collection. - London : Mehri Publication, 2021- ; ZDB-ID: 3105259-9 ; 48","In arabischer Schrift, persisch",978-1-915029-70-6,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors 17.81 Epik Prosa | KJQ 667 Roman {Persisch},ALS1 | ALS1,KJQ 667= 2022 A 955 | = 2022 A 3439,,,,,,,,,,,,,,,2021,,
Safarnāma-i Makka : 1253 q / 1838 m$dKaikāwūs Mīrzā farzand-i Fatḥ-ʿAlī Šāh Qaǧār ; bi kūšiš-i Rasūl Ǧaʿfariyān سفرنامه مکه : ۱۲۵۳ ق / ۱۸۳۸ م$dکیکاووس میرزا فرزند فتحعلی شاه قاجار ؛ به كوشش رسول جعفريان,,"Kaikāwūs Mīrzā Qāǧār *ca. 1808/09-?* [VerfasserIn] ; کیکاووس میرزا قاجار *ca. 1808/09-?* [VerfasserIn] Ǧaʿfariyān, Rasūl *ca. 30.06.1964-* [HerausgeberIn] ; جعفريان, رسول [HerausgeberIn]",Kaikāwūs Mīrzā Qāǧār,,VerfasserIn,Čāp 2 - چاپ دوم,Persian,"Tihrān : Našr-i ʿIlm ; تهران : نشر علم, 1399 h.š. [2020]",240 Seiten,Reisebericht,,"Ersch.-Jahr 2020 = 1399 h.š. In arabischer Schrift, persisch",978-964-224-745-5,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors 15.76 Vorderer und mittlerer Orient Geschichte | KJQ 679 Reise {Persisch},ALS1,KJQ 679 KaiM:z = 2024 A 3691,*Mekka / Wallfahrt,,,,,,,,,,,,,,,,
Māh tā cāh / Ḥusain Ātašparwar,,"Ātašparwar, Ḥusain, 1951 or 1952- [VerfasserIn]","Ātašparwar, Ḥusain",,VerfasserIn,Cāp-i 1,Persian,"Landan : Nashr-i Mihrī [2020], 1399 h.š. [2020]",188 Seiten ; 20 cm,,"Nashr-i Mihrī. Dāstān-i Fārsī, Rumān ; 47","A novel Abweichender Titel: From the moon to the well In arabischer Schrift, persisch In Persian",978-1-914165-77-1,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 667 Roman {Persisch},ALS1,= 2022 A 3442,,Library of Congress Classification: PK6562.1.T575,,,,,,,,,,,,,,,
Tūkā-i ābī,,"Ismāʿīliyūn, Ḥāmid *1977-* [VerfasserIn]","Ismāʿīliyūn, Ḥāmid",,,Cāp-i 1,Persian,"Tihrān : Našr-i Mihrī [1397 [2018]] ;  :  , 1397 h.š.  [2018]",246 Seite,,,"In arabischer Schrift, persisch",978-1-9993390-2-9 1-9993390-2-9,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 667 Roman {Persisch},ALS1,= 2022 A 3471,*livet ; levevilkår ; mænd ; eksil ; politiske forhold ; Iran,,,,,,,,,,,,,,,,
Dīwhā-i ḫušpūš / Gulī Taraqqī دیوهای خوش پوش / گلی ترقی,,"Taraqqī, Gulī *1939-* [VerfasserIn] ; ترقی, گلی [VerfasserIn]","Taraqqī, Gulī",,VerfasserIn,Cāp-i 1 - چاپ اول,Persian,"Tihrān : Intišārāt-i Nīlūfar [1398 [2019]] ; تهران : انتشارات نیلوفر [1398], 1399 h.š. [2020]",135 Seiten,,,"Noveller Novellesamling In arabischer Schrift, persisch",978-622-6654-33-3 622-6654-33-3,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 667 Roman {Persisch},ALS1,= 2022 A 3445,*livet ; levevilkår ; relationer ; traditioner,Library of Congress Classification: MLCSN 2024/61487 ; PK6561.T2835,,,,,,,,,,,,,,,
ʿAqrab-i kiši māh-pīšānī / Šahriyār Mandanīpūr Moon brow / by Shahriar Mandanipour,,"Mandanīpūr, Šahriyār *1957-* [VerfasserIn]","Mandanīpūr, Šahriyār",,VerfasserIn,Čāp-i 1,Persian,"London : Mehri Publication Ltd, 1399 h.š. = 2020",533 Seiten,Quelle,Mehri Publication Novel ; 46,,978-1-63684-343-8,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors 17.81 Epik Prosa | KJQ 667 Roman {Persisch},ALS1,KJQ 667 MnSh:z = 2022 A 3443,,,,,,,,,,,,,,,,,
"Ǧāmiʿ at-tamṯīl / Muḥammad Ḥabla-Rūdī ; taṣḥīḥ wa taḥqīq Muḥammad ʿAlī Iǧtihādiyān جامع‌التمثیل / محمدعلی حبله‌رودی, تصحيح و تحقيق محمدعلی اجتهادیان",,"Ǧabala Rūdī, Muḥammad [VerfasserIn] ; جبله رودى، محمد [VerfasserIn] Iǧtihādiyān, Muḥammad ʿAlī *ca. 1977/78-* [HerausgeberIn] ; 1977/78-* [HerausgeberIn]","Ǧabala Rūdī, Muḥammad",,VerfasserIn,Čāp-i 1 - چاپ 1,Persian,"Tihrān : Intišārāt-i Duktur Maḥmūd Afšār ; تهران : انتشارات دکتر محمود افشار, 1399 h.š. [2020]","112, [4], 593 Seiten",Quelle,"Maǧmūʿa-i intišārāt-i adabī wa tārīḫī-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī. - Tihrān : Bunyād-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī, 1973- ; ZDB-ID: 2282916-7 ; 237 Maǧmūʿa-i intišārāt-i adabī wa tārīḫī-i Mauqūfāt-i Duktur Maḥmūd Afšār Yazdī / Dr. Mahmud Afshar Foundation. - Tihrān : Bunyād-i Mauqūfāt-i Duktur Maḥmūd-i Afšār, 1390 h.š. [2011/2012] - ; ZDB-ID: 2772433-5 ; 75",Literaturverzeichnis Seite [587]-593 Text persisch Arabische Schrift,978-622-6441-39-1 622-6441-39-9,18.69 Iranische Sprachen und Literaturen 17.87 Besondere Literaturkategorien | KJQ 649 Sonstige Vers- und Prosaformen {Persisch},ALS1,KJQ 649 Gbl:z = 2024 A 4978,*Sprichwort *Parabel ; Islam ; Parabel / islamische / Text ; Quelle,"Regensburger Verbund-Klassifikation: EV 4670: E Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen / EV Indoiranische Sprachen und  Literaturen (unter Einschluss nichtindogermanischer Sprachen) / EV 500-EV 9999 Iranische Sprachen und Literaturen, Iranistik / EV 3200-EV 9999 Iranische Literatur / EV 4000-EV 8999 Neuiranische Literatur / EV 4300-EV 8999 Neupersische Literatur / EV 4400-EV 5999 Klassische neupersische Literatur (ab ca. 9. Jahrhundert) / EV 4600-EV 4699 Texte und Textsammlungen / Volksliteratur (Märchen, Fabeln, u.a.)",,,,,,,,,,,,,,,
"Sabk-šināsī-i šiʿr / duktur Sīrūs Šamīsā سبک‌شناسى شعر / دکتر سىروس شمىسا A stylistic survey of Persian poetry / by Sirous Shamissa, Lit. D.",,"Šamīsā, Sīrūs *1948-* [VerfasserIn] ; شمیسا, سیروس *1948-* [VerfasserIn]","Šamīsā, Sīrūs",,VerfasserIn,Čāp-i šišum āz wīrāst-i duwwum - چاپ سسم از ویراست دوم,Persian,"Tihrān : Našr-i Mītrā ; تهران : نشر ميترا, 1399 h.š. [2020]",420 pages ; 24 cm,,,"""Virāst-i duvvum."" Includes bibliographical references, glossary and index Ersch.-Jahr 1399 h.š. = 2020 In arab. Schr., pers.",978-964-8417-03-6 964-8417-03-2,18.69 Iranische Sprachen und Literaturen 17.83 Lyrik 17.77 Stilistik Rhetorik Literaturwissenschaft | KJQ 532 Lyrik {Neupersisch} KJQ 516 Literarischer Stil {Neupersisch},ALS1,KJQ 532:m = 2021 A 3033,"*Persisch / Lyrik / Stilistik *Persian poetry -- History and criticism ; Persian poetry -- Themes, motives ; Poets, Persian *Persian poetry ; Criticism, interpretation, etc",Library of Congress Classification: PK6416,,,,,,,,,,,,,,,
